Country,Region,Constituency,Station
The Gambia,Janjanbureh,Upper Fulladu West,Bansang B
The Gambia,Janjanbureh,Upper Fulladu West,Bantanto
The Gambia,Janjanbureh,Upper Fulladu West,Boraba
The Gambia,Janjanbureh,Upper Fulladu West,Cha Kunda Madina
The Gambia,Janjanbureh,Upper Fulladu West,Chargel
The Gambia,Janjanbureh,Upper Fulladu West,Daru
The Gambia,Janjanbureh,Upper Fulladu West,Dobang Kunda.Kebba
The Gambia,Janjanbureh,Upper Fulladu West,Fass Belal
The Gambia,Janjanbureh,Upper Fulladu West,Fugga
The Gambia,Janjanbureh,Upper Fulladu West,Galleh Manda
The Gambia,Janjanbureh,Upper Fulladu West,Lala Gui (Sare Chewto)
The Gambia,Janjanbureh,Upper Fulladu West,Librass
The Gambia,Janjanbureh,Upper Fulladu West,Medina Tunjang
The Gambia,Janjanbureh,Upper Fulladu West,Ndikiri Kunda
The Gambia,Janjanbureh,Upper Fulladu West,Ngayen (Kerr Njaga)
The Gambia,Janjanbureh,Upper Fulladu West,Pateh Gai (Kerr Pateh Gai)
The Gambia,Janjanbureh,Upper Fulladu West,Sam Pateh (Jahanka)
The Gambia,Janjanbureh,Upper Fulladu West,Santanto Bubu
The Gambia,Janjanbureh,Upper Fulladu West,Sare Pateh Jawo
The Gambia,Janjanbureh,Upper Fulladu West,Sare Silleri
The Gambia,Janjanbureh,Upper Fulladu West,Sare Sofie
The Gambia,Janjanbureh,Upper Fulladu West,Sololo Mandinka
The Gambia,Janjanbureh,Upper Fulladu West,Tandi
The Gambia,Janjanbureh,Upper Fulladu West,Tuba Ousman (Kerr Ousman Boye)
The Gambia,Janjanbureh,Upper Fulladu West,Wellingara Demba Kandeh
The Gambia,Janjanbureh,Upper Fulladu West,Yoro Beri Kunda Mandinka
The Gambia,Janjanbureh,Upper Saloum,Bantanto Ebrima Kah (Kerr Sulay)
The Gambia,Janjanbureh,Upper Saloum,Bantanto Kerr Laye
The Gambia,Janjanbureh,Upper Saloum,Batti Ndarr
The Gambia,Janjanbureh,Upper Saloum,Fass
The Gambia,Janjanbureh,Upper Saloum,Jareng Madi Jama (Jareng Modou Warr)
The Gambia,Janjanbureh,Upper Saloum,Kerr Auldi
The Gambia,Janjanbureh,Upper Saloum,Njau
The Gambia,Janjanbureh,Upper Saloum,Noiro Tukulor
The Gambia,Janjanbureh,Upper Saloum,Panchang
The Gambia,Kanifing,Bakau,Bakau Community Centre
The Gambia,Kanifing,Bakau,Bakau Farokono
The Gambia,Kanifing,Bakau,Bakau Lower Basic Sch
The Gambia,Kanifing,Bakau,Bakau Ubs (Independence Stadium)
The Gambia,Kanifing,Bakau,Cape Point
The Gambia,Kanifing,Bakau,Fajara (Around Sabena Junction)
The Gambia,Kanifing,Bakau,Fajara Hotel
The Gambia,Kanifing,Bakau,Kachikally Cinema
The Gambia,Kanifing,Bakau,Mama Koto Road
The Gambia,Kanifing,Bakau,New Town Lower Basic Sch.
The Gambia,Kanifing,Bakau,Old Bakau Bantaba
The Gambia,Kanifing,Bakau,Wasulunkunda Bantang Koto
The Gambia,Kanifing,Bundungka Kunda,Aren Babun Fatty
The Gambia,Kanifing,Bundungka Kunda,Bundung Bantaba  Street
The Gambia,Kanifing,Bundungka Kunda,Bundung Borehole
The Gambia,Kanifing,Bundungka Kunda,Bundung Farokono (Third Hall)
The Gambia,Kanifing,Bundungka Kunda,Bundung Lower Basic Sch
The Gambia,Kanifing,Bundungka Kunda,Bundung Mosque
The Gambia,Kanifing,Bundungka Kunda,Bundung Six Junction
The Gambia,Kanifing,Bundungka Kunda,Bundung White House
The Gambia,Kanifing,Bundungka Kunda,Mauritania School
The Gambia,Kanifing,Bundungka Kunda,Medina Fass Mosque
The Gambia,Kanifing,Bundungka Kunda,Nusrat Sen. Sec Sch.
The Gambia,Kanifing,Bundungka Kunda,Serekunda East Mini Studium
The Gambia,Kanifing,Jeshwang,Abc Schools
The Gambia,Kanifing,Jeshwang,Ebo Town Badala
The Gambia,Kanifing,Jeshwang,Ebo Town Big Tree
The Gambia,Kanifing,Jeshwang,Ebo Town Mosque
The Gambia,Kanifing,Jeshwang,Ebo Town Sanchaba
The Gambia,Kanifing,Jeshwang,Kanifing Estate Comm. Centre
The Gambia,Kanifing,Jeshwang,Kanifing Layout
