Region,Constituency,Station,Registered,,,,,,,,,,,,,,,
Brikama,Busumbala,Busumbala Bantaba,5105,,,,,,,,,,,,,,,
Brikama,Busumbala,Busumbala Guigi Bantaba,2404,,,,,,,,,,,,,,,
Brikama,Busumbala,Busumbala Model Sukoto Bantaba,2982,,,,,,,,,,,,,,,
Brikama,Busumbala,Busumbala Tintinba Mosque,1887,,,,,,,,,,,,,,,
Brikama,Busumbala,Daranka Village Hall,2355,,,,,,,,,,,,,,,
Brikama,Busumbala,Daru Busumbala Bantaba,2192,,,,,,,,,,,,,,,
Brikama,Busumbala,Kombo Kerewan Bantaba,3586,,,,,,,,,,,,,,,
Brikama,Busumbala,Kubariko Bantaba,723,,,,,,,,,,,,,,,
Brikama,Busumbala,Kunkujang Jatta Yaa Bantaba,1024,,,,,,,,,,,,,,,
Brikama,Busumbala,Lamin Babylon Football Field,2316,,,,,,,,,,,,,,,
Brikama,Busumbala,Lamin Cambodia,1188,,,,,,,,,,,,,,,
Brikama,Busumbala,Lamin Gamtrade Training Centre (Opposite),2957,,,,,,,,,,,,,,,
Brikama,Busumbala,Lamin Health Centre,2480,,,,,,,,,,,,,,,
Brikama,Busumbala,Lamin Sda School,1032,,,,,,,,,,,,,,,
Brikama,Busumbala,Lamin St. Peter'S Pri Sch (Behind Petrol Station),3598,,,,,,,,,,,,,,,
Brikama,Busumbala,Makumbaya Garage,1544,,,,,,,,,,,,,,,
Brikama,Busumbala,Mandinary Dutokoto,3986,,,,,,,,,,,,,,,
Brikama,Busumbala,New Yundum Bantba,3017,,,,,,,,,,,,,,,
Brikama,Busumbala,New Yundum Pri Sch,2520,,,,,,,,,,,,,,,
Brikama,Busumbala,New Yundum Sadinka,823,,,,,,,,,,,,,,,
Brikama,Busumbala,Yaram Bamba Estate Mosque,1237,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Arangalen Bantaba,395,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Bajagarr Bantaba,532,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Batabut Kantora,1015,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Batending Kajera Bantaba,504,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Bintang Bantaba,796,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Bullanjorr Bantaba,375,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Jakoi Sibirick,578,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Janack Bantaba,1314,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Kansanyi Ecd,472,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Kusamai Bantaba,1481,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Sibanor Bantaba,2558,,,,,,,,,,,,,,,
Brikama,Foni Bintang,Tampoto,949,,,,,,,,,,,,,,,
Brikama,Foni Bondali,Bantanjang Bantaba,278,,,,,,,,,,,,,,,
Brikama,Foni Bondali,Bondali Jola Chief'S Quarter,1448,,,,,,,,,,,,,,,
Brikama,Foni Bondali,Chabai Bantaba,307,,,,,,,,,,,,,,,
Brikama,Foni Bondali,Kankurang Bantaba,1440,,,,,,,,,,,,,,,
Brikama,Foni Bondali,Mayork Health Centre,1294,,,,,,,,,,,,,,,
Brikama,Foni Brefet,Bajana Bantaba,589,,,,,,,,,,,,,,,
Brikama,Foni Brefet,Bereft Bantaba,366,,,,,,,,,,,,,,,
Brikama,Foni Brefet,Bessi Ccf,912,,,,,,,,,,,,,,,
Brikama,Foni Brefet,Bulock Bantaba,2415,,,,,,,,,,,,,,,
Brikama,Foni Brefet,Ndemban Tenda Bantaba,1662,,,,,,,,,,,,,,,
Brikama,Foni Brefet,Somita Ccf,2227,,,,,,,,,,,,,,,
Brikama,Foni Brefet,Sutusinjang Day Care Centre,953,,,,,,,,,,,,,,,
Brikama,Foni Jarrol,Arankon Kunda Bantaba,583,,,,,,,,,,,,,,,
Brikama,Foni Jarrol,Kalagi Bantaba,1335,,,,,,,,,,,,,,,
Brikama,Foni Jarrol,Kanmamudou Ecd,1206,,,,,,,,,,,,,,,
Brikama,Foni Jarrol,Sintet Health Centre,1527,,,,,,,,,,,,,,,
Brikama,Foni Jarrol,Wassadou Bantaba,632,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Bwiam Ccf,2193,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Darsilameh Bantaba,441,,,,,,,,,,,,,,,
